Year,Revenue Totals,COGS Totals,Gross Profit Totals,Operating Expense Totals,Operating Income Totals,Net Income Totals,Cash Balance Totals
2015,56935,24034,27765,22483,5273,7002,3822
2016,268276,109521,157984,140445,23108,9297,29787
2017,250795,103616,147258,114518,32738,21766,
2018,202665,86108,113413,99212,13894,7667,81905
2019,202854,100360,102406,124304,-21899,-12991,72267
2020,65498,28265,36917,46176,-9259,-7561,12576
2021,105960.81,42838,74601,64075,10523,7336,21279
2022,169224,52443,116590,91831,24837,16260,26826
Grand Total,1322207.81,547185,776934,703044,79215,48776,248462
