Primary Location,Sum of COGS
MC," $174,507 "
Smith," $75,449 "
STC," $67,731 "
Kimball," $51,426 "
Library Ampitheatre," $41,755 "
Outside," $26,998 "
Rotated," $24,592 "
Crossroads," $20,167 "
Online," $17,216 "
(blank)," $9,821 "
I-Center," $6,891 "
Benson," $6,395 "
Courtyard," $6,314 "
Hart," $6,095 "
Austin," $5,499 "
Ricks," $3,388 "
By the Stadium," $2,326 "
Snow, $615 
Clark,
Grand Total," $547,185 "
