Primary Location,Sum of Net Income
Library Ampitheatre," $(21,451)"
Kimball," $(4,630)"
Online," $(1,632)"
Ricks, $(785)
Snow, $(571)
Courtyard, $(408)
Austin, $518 
Hart, $860 
Clark," $2,411 "
Outside," $3,710 "
Rotated," $4,282 "
By the Stadium," $4,285 "
STC," $4,381 "
Benson," $4,521 "
I-Center," $4,524 "
(blank)," $5,837 "
Crossroads," $10,744 "
Smith," $10,801 "
MC," $21,379 "
Grand Total," $48,776 "
