Primary Location,Sum of Operating Income
Library Ampitheatre," $(23,680)"
Online," $(2,256)"
Ricks, $(879)
Snow, $(779)
Kimball, $(499)
Clark,
Austin, $802 
Courtyard," $1,494 "
Hart," $1,508 "
STC," $2,169 "
(blank)," $5,747 "
Benson," $5,884 "
By the Stadium," $6,181 "
Rotated," $6,339 "
Outside," $6,574 "
I-Center," $6,969 "
Crossroads," $15,580 "
Smith," $16,476 "
MC," $31,585 "
Grand Total," $79,215 "
