Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin
2018,Winter,E,Date Box,MC,35,Date Boxes,6647,4147,2501,0.376259967,4042,-1541,-1191,1766,-0.179178577
2018,Winter,F,Sawtooth Supply Co,MC,35,Billboard Duffle Bags,11023,3094,4162,0.377574163,3788,375,332,3678,0.030118842
2018,Winter,G,Bee's Knees,MC,35,Skin Care Products,7980,2616,5364,0.672180451,4243,1121,714,3990,0.089473684
2018,Spring,A,Serenity,MC,35,Bath bombs,3050,1103,1946,0.638032787,2907,-961,-704,796,-0.230819672
2018,Spring,B,Laurel Bee,MC,35,Jewelry,4486,932,3553,0.792019617,2733,821,559,2339,0.124609897
2018,Spring,C,Honu Life,Courtyard,35,"Hammocks, hats",4910,2858,2052,0.417922607,3008,956,-753,1229,-0.153360489
2018,Spring,D,Shaves,Smith,150,Shaved ice/hot dogs,3052,682,2370,0.776539974,5612,-3242,-2340,-691,-0.766710354
2018,Spring,E,Joey & Co,MC,35,Apparel,3802,2219,1583,0.416359811,2905,-1322,-978,567,-0.257233035
2018,Spring,F,Jurassic Wraps,Kimball,75,Wraps,7481,3653,3828,0.511696297,4582,-753,-566,2160,-0.075658334
2018,Spring,G,Imperial Rice,STC,150,Rice bowls,9102,5264,3838,0.421665568,5423,-1585,-1169,3738,-0.128433311
2018,Spring,H,Fantastic Foods,MC,35,Food packaging and delivery,3354,3244,110,0.032796661,3424,-3313,-2402,-1935,-0.716159809
2018,Fall,A,Gnarly Woodworks,MC,35,Wood rings,8360,1756,6604,0.789952153,4816,1788,1280,6130,0.153110048
2018,Fall,B,Silver Lining,MC,35,Jewelry,14475,2419,12056,0.832884283,3717,8339,5754,10578,0.397512953
2018,Fall,C,ROFL Games,MC,35,Custom Games,8448,3919,5159,0.610677083,1468,1468,998,4574,0.11813447
2018,Fall,D,Lit,MC,35,Candles,8276,3153,5123,0.61901885,2530,2593,1758,3723,0.21242146
2018,Fall,E,Copper Kettle,Courtyard,35,"Hot Chocolate, Baked Goods",8784,3456,5325,0.606215847,4787,538,345,3325,0.039275956
2018,Fall,F,Lunch Box,Smith,150,Sandwiches,15264,6521,8742,0.572720126,4737,4005,2780,8253,0.182127883
2018,Fall,G,Cyber Sliders,STC,150,Slider Sandwiches,9446,5102,4344,0.459877197,4556,-213,-75,4354,-0.007939869
2018,Fall,H,Viva la Bowl,Kimball,75,Mexican Salads,9919,5460,4458,0.449440468,5182,-723,-547,2509,-0.055146688
2019,Winter,A,The Dunes,STC,150,Grab and Go Sandwiches,18838,10821,8017,0.425575963,6339,1678,1116,7954,0.059241958
2019,Winter,B,Casa de Kimabll,Kimball,75,Street Taco's / Tostadas,12743,8001,4743,0.372204347,7166,-2423,-1742,4151,-0.136702503
2019,Winter,C,Rexadilla,Austin,35,Casadillas,11393,5499,5894,0.517335206,5091,802,518,4765,0.045466515
2019,Winter,D,Sweetums,MC,35,Candy,6391,2928,3463,0.541855735,3998,-535,-417,1909,-0.065248005
2019,Winter,E,Smith Street Tacos,Smith,150,Street Taco's,13100,7515,5585,0.426335878,7340,-1755,-1309,5709,-0.099923664
2019,Winter,F,Rep-it,MC,35,Custom Apparel,8714,5544,3170,0.363782419,5054,-1884,-1376,2346,-0.157906817
2019,Winter,G,Bigfoot Stickers,MC,35,Stickers,4732,912,3820,0.807269653,3714,106,28,2460,0.00591716
2019,Winter,H,VNL,MC,35,Custom Apparel,7226,2393,4833,0.668834763,4687,146,150,2772,0.020758373
2019,Winter,I,Sticker Seal,MC,35,Stickers,4719,1830,2889,0.612205976,4635,-1746,-1293,1948,-0.273998729
2019,Spring,A,In The Loop,MC,35,Handmade Ties,6684,6327,357,0.053411131,4116,-3759,-2659,3265,-0.397815679
2019,Spring,B,Phil's Philly Cheese Steaks,Kimball,75,philly cheese steaks,7560,3506,4054,0.536243386,7271,-3217,-2326,1679,-0.307671958
2019,Spring,C,Uncle Pops,Library Ampitheatre,25,italian sodas,4612,2347,2265,0.491110147,3198,-933,-752,950,-0.163052905
2019,Spring,D,The Shack,Smith,150,Hot Dogs and shakes,9183,3947,5236,0.570184036,7191,-1955,-1410,2217,-0.153544593
2019,Spring,E,Boneless Bytes,STC,150,Boneless Chicken wings and Shakes,13878,7978,5900,0.425133305,8376,-2476,1765,3726,0.127179709
2019,Spring,F,Outdoorish,Library Ampitheatre,35,Hammocks and Solar Chargers,4845,4257,588,0.121362229,3398,-2810,-2060,0,-0.425180599
2019,Spring,G,Yellow Stitch,MC,35,Women's Scrunchies,9043,3049,5994,0.662833131,3834,2160,1479,6551,0.163551919
2019,Spring,H,The Dog House,MC,25,Hot Dogs,9088,3249,5839,0.642495599,7319,-1480,-1084,3333,-0.119278169
2019,Fall,A,Boujee,MC,35,Essential Oils Products,3806,2140,1666,0.4377299,2772,-1106,-816,286,-0.214398318
2019,Fall,B,Toasties,Smith,150,Paninies,11973,6906,5067,0.423202205,3782,1285,863,5959,0.072078844
2019,Fall,C,Bonga Beads,MC,35,Beaded Jewelry,7498,1924,5575,0.743531608,4234,1341,911,3268,0.121499066
2019,Fall,D,The Shoppe,MC,35,Candles; Plants; Misc,5471,1786,3685,0.673551453,2937,748,462,1711,0.084445257
2019,Fall,E,"Subtle, Me",MC,35,Custom Jewelry,6984,2320,4574,0.654925544,5895,-1321,-978,1890,-0.140034364
2019,Fall,F,Batter Up,Library Ampitheatre,35,Waffles Bites,5248,1233,4015,0.765053354,5082,-1067,-795,1955,-0.15148628
2019,Fall,G,Salt Fix,STC,150,Soft Pretzels,5697,1436,4261,0.747937511,4515,-254,-207,1660,-0.036334913
2019,Fall,H,Boom! Toasted,Kimball,75,Gourmet Toast,3428,2512,916,0.267211202,2360,-1444,-1059,-197,-0.308926488
2020,Winter,A,Pop Shop,Library Ampitheatre,35,Mixed drinks,3644,2621,971,0.266465423,2046,-1075,-812,1362,-0.222832053
2020,Winter,B,Burro,Smith,150,Breakfast burritos,6987,3711,3276,0.46887076,4663,-1388,-1009,735,-0.144411049
2020,Winter,C,Switchback,MC,35,Outdoor apparel,1702,1085,617,0.362514689,1554,-937,-712,1012,-0.418331375
2020,Winter,D,Sweet Traditions,MC,35,Recipe jars,1604,1760,-157,-0.097880299,1057,-1214,-895,807,-0.55798005
2020,Winter,E,Cozy's,MC,35,Hot chocolate & other,2838,582,2256,0.794926004,2848,-592,-449,712,-0.158210007
2020,Winter,F,Layers,MC,35,Wood jewelry,2737,350,2387,0.872122762,2001,386,242,1740,0.088417976
2020,Winter,G,Sweet Life,MC,35,Confections,1894,897,997,0.526399155,2092,-1095,-809,909,-0.427138332
2020,Winter,H,Uli,MC,35,Spoon/coin rings,4103,423,3680,0.896904704,3394,286,162,1900,0.039483305
2020,Winter,I,Taco Town,Kimball,75,Street tacos,3208,1936,1676,0.52244389,3303,-1627,-1198,515,-0.373441397
2020,Spring,A,Rexburg Roots,Online,7,Apparel,3436,2533,904,0.263096624,2740,-1836,-1430,-27,-0.416181607
2020,Fall,A,Game Box,Online,,Card Games,2570,1260,1310,0.509727626,1345,-35,-10,1052,-0.003891051
2020,Fall,B,Alpacka Box,Online,,Custom Gift Boxes,4872,2584,2288,0.469622332,2013,275,81,60,0.016625616
