Year,Smstr,#,Company Name,Primary Location,"Rent/Domain Amount 
for Primary Location",Description,Revenue,COGS,Gross Profit,Gross Margin,Operating Expenses,Operating Income,Net Income,Ending Cash Balance,Net Income Margin,Category
2015,Winter,A,Teton Tacos,Smith,,Tacos,,,,,,,,,0%,Food/Drink
2015,Winter,B,43 North,Library Ampitheatre,,Hot Chocolate,"9,718.00","3,778.00","5,940.00",61%,"13,443.00","-7,502.00","-7,502.00","2,363.00",-77%,Food/Drink
2015,Winter,C,Royal,MC,,Apparel,"11,868.00","5,993.00","5,874.00",49%,"1,322.00","4,543.00","3,861.00","1,459.00",33%,Apparel
2015,Winter,D,Shave and Shine,MC,,Apparel,"13,589.00","5,910.00","7,679.00",57%,"5,909.00","1,770.00","1,770.00",,13%,Apparel
,,,,,,,,,,,,,,,,
2015,Winter,F,Johnny's Diner,Clark,,Burgers,"5,135.00",,,,,,"2,411.00",,47%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2015,Spring,E,Toasties,,,Food,"16,625.00","8,353.00","8,272.00",50%,"1,809.00","6,462.00","6,462.00",,39%,Food/Drink
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2017,Winter,H,Impress,MC,,Etched Wood products,"5,786.00","2,930.00","2,930.00",51%,"4,413.00","-1,483.00","-1,069.00",,-18%,Product
2017,Spring,A,Treeline,MC,,Hammock,"20,078.00","11,478.00","8,600.00",43%,"4,076.00","4,524.00","3,091.00",,15%,Product
2017,Spring,B,Ohana Hut,STC,,Rice Bowl,"11,432.00","5,567.00","5,866.00",51%,"7,016.00","-1,150.00",-875.00,,-8%,Food/Drink
2017,Spring,C,Doughlicious,Library Ampitheatre,,Cookie Dough,"8,539.00","2,314.00","6,225.00",73%,"7,310.00","-1,085.00",-811.00,,-9%,Food/Drink
2017,Spring,D,Chanchos,Crossroads,,Tacos,"15,592.00","4,456.00","11,137.00",71%,"8,743.00","2,394.00","1,531.00",,10%,Food/Drink
2017,Spring,E,ParadICE,Library Ampitheatre,,Shaved Ice,"4,507.00","1,036.00","3,471.00",77%,"4,595.00","-1,124.00",-846.00,,-19%,Food/Drink
2017,Spring,F,StickOut,MC,,Vinyl Stickers,"5,092.00",788.00,"4,305.00",85%,"4,304.00",1.00,-62.00,,-1%,Product
2017,Fall,A,Open Box Games,MC,$35 ,Mormon card games,"20,321.00","8,544.00","11,777.00",58%,"3,993.00","7,784.00","5,446.00",,27%,Product
2017,Fall,B,Cozy Comforts,MC,$35 ,Blankets,"10,660.00","5,884.00","4,776.00",45%,"3,648.00","1,128.00",670.00,,6%,Product
2017,Fall,C,Visual Records,MC,$35 ,Home Decor (w/sound wave art),"7,421.00","3,322.00","4,099.00",55%,"3,686.00",413.00,241.00,,3%,Product
