Primary Location,Sum of Revenue
MC," $412,322 "
Smith," $182,561 "
STC," $143,570 "
Kimball," $103,657 "
Library Ampitheatre," $96,786 "
Rotated," $76,963 "
Outside," $70,547 "
Crossroads," $53,778 "
Online," $31,484 "
I-Center," $31,431 "
Benson," $28,726 "
(blank)," $20,495 "
Hart," $15,966 "
Courtyard," $13,694 "
By the Stadium," $13,360 "
Austin," $11,393 "
Ricks," $8,151 "
Clark," $5,135 "
Snow," $2,189 "
Grand Total," $1,322,208 "
